"","game_str","game_id","play_id","timestamp","game_event_player_pos","event_code","coords_player_pos","field_x","field_y","distance_ft","time_ms","velocity_m_per_s","passed_to"
"1","1900_05_TeamKK_TeamB",5,56,2233184,4,2,4,1.0953,125.0583,129.916895261548,1288,30.7443087544408,"2B"
"2","1900_05_TeamKK_TeamB",5,218,8287906,4,2,4,-0.2751,125.7708,127.290661473535,1353,28.6756789483617,"2B"
"3","1900_08_TeamKL_TeamB",8,270,10237306,4,2,4,61.0839,64.2894,82.6022849123437,957,26.3084393325834,"2B"
"4","1901_02_TeamLG_TeamA3",11,99,4238996,6,2,6,-0.7908,128.6013,130.107265789463,1250,31.7253556901027,"SS"
"5","1901_02_TeamLG_TeamA3",11,282,10908790,4,2,4,-0.9615,126.2736,128.762197061172,1300,30.1897828186501,"2B"
"6","1901_05_TeamLI_TeamA3",14,81,2539203,6,2,6,2.4216,122.1453,124.776224726428,1250,30.4254346372921,"SS"
"7","1901_07_TeamLK_TeamB",16,122,4259800,4,2,4,-0.447,124.5951,127.184870410478,1200,32.3049570842613,"2B"
"8","1901_09_TeamLK_TeamB",18,64,2470233,4,2,4,0.2535,125.1051,129.00867443614,1250,31.4574751745084,"2B"
"9","1901_09_TeamLK_TeamB",18,145,5583380,6,2,6,-1.356,125.5254,127.871522087015,1350,28.8705480978683,"SS"
"10","1901_10_TeamLJ_TeamB",19,81,2925814,6,2,6,-2.1564,125.2461,127.877407922314,1500,25.9846892898143,"SS"
"11","1901_11_TeamLJ_TeamB",20,119,4220192,6,2,6,4.2876,127.7226,131.258716700492,1300,30.7751206540846,"SS"
"12","1901_11_TeamLJ_TeamB",20,152,5671441,6,2,6,-0.1068,124.5105,128.47368916319,1450,27.0060554875451,"SS"
"13","1901_11_TeamLJ_TeamB",20,174,6472940,4,2,4,0.9309,123.4125,128.766867449434,1500,26.1654274657249,"2B"
"14","1901_12_TeamLJ_TeamB",21,189,6546441,4,2,4,2.5965,122.4342,125.338024956555,1350,28.2985407457466,"2B"
"15","1901_13_TeamLL_TeamB",22,152,4842271,4,2,4,0.3336,127.0446,131.31871581218,1300,30.7891881381172,"2B"
"16","1901_14_TeamLL_TeamB",23,134,4738747,6,2,6,0.5643,125.1327,128.193191814932,1350,28.9431739742158,"SS"
"17","1901_15_TeamLL_TeamB",24,51,1744170,6,2,6,-0.3804,126.876,131.715209108478,1350,29.7383672120474,"SS"
"18","1901_16_TeamLH_TeamA3",25,87,2984074,4,2,4,1.2363,124.9287,128.494869350414,1300,30.1271047523125,"2B"
"19","1901_16_TeamLH_TeamA3",25,100,3437024,4,2,4,0.765,122.9502,126.507729017677,1300,29.66119677276,"2B"
"20","1901_17_TeamLH_TeamA3",26,18,451844,4,2,4,-2.2527,125.2089,130.269822586584,1300,30.5432630187621,"2B"
"21","1901_17_TeamLH_TeamA3",26,281,9704581,6,2,6,-0.3225,125.8989,128.313699650895,1300,30.0846274258405,"SS"
"22","1901_18_TeamLH_TeamA3",27,19,502503,4,2,4,-0.7851,126.8835,130.918164745042,1700,23.4728568319346,"2B"
"23","1902_02_TeamMG_TeamA3",29,114,3896469,4,2,4,-83.9775,88.5561,112.915564294919,1150,29.9275339105142,"2B"
"24","1902_03_TeamMG_TeamA3",30,117,3828246,4,2,4,-1.2336,124.3266,126.690875605546,1150,33.5785903344091,"2B"
"25","1902_08_TeamMJ_TeamB",35,12,285444,6,2,6,2.2818,129.0735,131.918034813516,1300,30.9297053931997,"SS"
"26","1902_08_TeamMJ_TeamB",35,80,2887744,4,2,4,-1.0188,126.9954,129.561971348733,1250,31.5923910936751,"2B"
"27","1902_08_TeamMJ_TeamB",35,103,3772844,6,2,6,0.3144,126.021,128.35622584982,1350,28.9799834363149,"SS"
"28","1902_08_TeamMJ_TeamB",35,222,8463344,4,2,4,2.2701,121.8438,123.946046219353,1200,31.4822957397157,"2B"
"29","1902_08_TeamMJ_TeamB",35,369,14183305,6,2,6,-0.8238,125.5746,113.311999584025,1100,31.3977249756461,"SS"
"30","1902_09_TeamMJ_TeamB",36,296,11093955,4,2,4,-0.405,124.7046,126.460447508618,1200,32.120953667189,"2B"
"31","1902_11_TeamMI_TeamA3",38,25,748252,6,2,6,-1.5249,124.9236,126.963978293885,1150,33.6509744208487,"SS"
"32","1902_11_TeamMI_TeamA3",38,205,6869102,6,2,6,-2.9166,127.9128,129.883276793974,1250,31.6707382134426,"SS"
"33","1902_12_TeamMI_TeamA3",39,61,1944654,4,2,4,-0.3816,123.1029,126.734819401221,1200,32.19064412791,"2B"
"34","1902_13_TeamMD_TeamA2",40,86,3134580,4,2,4,0.9951,123.5874,153.94310573228,1350,34.7569323164437,"2B"
"35","1902_13_TeamMK_TeamB",41,66,2387060,4,2,4,0.6192,124.3302,128.641605014124,1350,29.0444157098556,"2B"
"36","1902_14_TeamMD_TeamA2",42,306,10466365,6,2,6,2.3355,127.14,130.036861331124,1300,30.4886425644051,"SS"
"37","1902_16_TeamMD_TeamA2",45,49,1567873,6,2,6,-1.2237,129.2064,130.98555454782,1150,34.7168669792831,"SS"
"38","1902_16_TeamMD_TeamA2",45,198,6676816,6,2,6,1.0764,124.7268,128.539233709946,1250,31.3430067478331,"SS"
"39","1902_17_TeamMB_TeamA1",46,184,6503768,4,2,4,0.2142,128.1687,130.197191439178,1250,31.7472831605292,"2B"
"40","1902_18_TeamMB_TeamA1",47,187,6781604,6,2,6,0.4632,125.7501,127.156110685606,1200,32.2976521141438,"SS"
"41","1902_19_TeamME_TeamA2",48,34,1005252,6,2,6,1.1031,125.4573,127.52138650446,1250,31.0948148852477,"SS"
"42","1902_20_TeamME_TeamA2",49,146,5244978,6,2,6,2.4771,127.6101,136.264088016946,1400,29.6666385911179,"SS"
"43","1902_20_TeamME_TeamA2",49,204,7672028,6,2,6,0.576,125.4675,126.676041259664,1200,32.1757144799546,"SS"
"44","1902_21_TeamME_TeamA2",50,16,375358,4,2,4,-0.627,124.878,130.058772593393,1350,29.3643806566417,"2B"
"45","1902_21_TeamME_TeamA2",50,172,6124808,6,2,6,0.537,125.2986,127.737134141055,1200,32.4452320718281,"SS"
"46","1902_22_TeamMA_TeamA1",51,117,4073690,6,2,6,-0.8115,124.815,126.268319353391,1200,32.0721531157614,"SS"
"47","1902_23_TeamMA_TeamA1",52,80,2463238,6,2,6,-2.0892,124.029,127.221055502146,1200,32.314148097545,"SS"
"48","1902_23_TeamMA_TeamA1",52,99,3242588,4,2,4,2.8629,125.4813,128.639020932841,1200,32.6743113169417,"2B"
"49","1902_23_TeamMA_TeamA1",52,240,8678388,4,2,4,0.0552,125.5776,128.522094506742,1400,27.9810960040393,"2B"
"50","1902_24_TeamMA_TeamA1",53,34,925643,4,2,4,0.7485,124.8075,126.783932203572,1188,32.5284028077852,"2B"
"51","1902_24_TeamMA_TeamA1",53,198,6684764,6,2,6,0.4335,123.6339,117.486568489892,1023,35.0047957729413,"SS"
"52","1902_24_TeamMA_TeamA1",53,339,11799538,4,2,4,-1.1961,125.4552,123.978039517368,1188,31.8085071084964,"2B"
"53","1902_26_TeamMC_TeamA1",55,241,8483627,4,2,4,0.2688,124.8396,128.302855030315,1300,30.0820847794154,"2B"
"54","1902_26_TeamMH_TeamA3",56,71,2315256,6,2,6,-0.861,126.2475,127.973510348119,1250,31.2050607632852,"SS"
"55","1902_26_TeamMH_TeamA3",56,122,3835406,4,2,4,-2.115,130.0935,90.6183037224268,1050,26.3051990234245,"2B"
"56","1902_26_TeamMH_TeamA3",56,135,4288006,6,2,6,-1.227,127.8849,133.369254217604,1150,35.348651030892,"SS"
"57","1902_26_TeamMH_TeamA3",56,196,6514356,6,2,6,-1.4307,124.4505,127.628522897705,1150,33.8271076341048,"SS"
"58","1902_27_TeamMH_TeamA3",57,21,761872,6,2,6,0.2361,127.0785,106.125047761685,950,34.0493837450123,"SS"
"59","1902_27_TeamMH_TeamA3",57,88,3059272,6,2,6,-0.9876,126.1584,128.687629317701,1200,32.686657846696,"SS"
"60","1902_28_TeamMC_TeamA1",58,147,5485355,6,2,6,0.7056,123.1167,125.514201821507,1350,28.3383175668114,"SS"
"61","1902_29_TeamMF_TeamA2",59,226,8763760,4,2,4,4.0479,124.3566,113.877866553646,1150,30.1825858483055,"2B"
"62","1902_30_TeamMF_TeamA2",60,114,3609679,6,2,6,-1.3242,123.4029,125.649522166382,1300,29.459980274087,"SS"
"63","1902_31_TeamMF_TeamA2",61,101,2898396,4,2,4,0.2055,123.1152,124.414586707829,1300,29.1704354065742,"2B"
"64","1903_01_TeamNE_TeamA2",62,229,7418170,4,2,4,22.5666,147.0369,154.455912515028,1320,35.6652743443792,"2B"
"65","1903_01_TeamNE_TeamA2",62,259,8545286,4,2,4,15.1116,144.1962,150.136779937496,1320,34.6679473673854,"2B"
"66","1903_01_TeamNE_TeamA2",62,284,9427509,4,2,4,16.7124,139.7868,145.370100729001,1287,34.4279772355863,"2B"
"67","1903_01_TeamNE_TeamA2",62,301,10024149,6,2,6,-14.1951,141.6123,150.10969112116,1287,35.5504536548015,"SS"
"68","1903_05_TeamND_TeamA2",66,114,3324362,6,2,6,-19.2651,145.4142,152.387427875432,1300,35.7289907818705,"SS"
"69","1903_06_TeamND_TeamA2",67,15,302024,4,2,4,-13.1535,147.9003,154.202612331471,1250,37.6007649909059,"2B"
"70","1903_06_TeamND_TeamA2",67,141,4571374,4,2,4,22.9899,137.2041,145.057401859126,1000,44.2134960866616,"2B"
"71","1903_07_TeamND_TeamA2",68,57,1587673,4,2,4,-4.2813,122.6403,126.842052099767,1350,28.6381166518585,"2B"
"72","1903_07_TeamND_TeamA2",68,101,2934773,6,2,6,1.6104,123.4377,128.976928086422,1300,30.2401289851856,"SS"
"73","1903_07_TeamND_TeamA2",68,168,4947073,4,2,4,2.2851,126.5913,129.731727744026,1300,30.4171004741377,"2B"
"74","1903_08_TeamNJ_TeamB",69,91,3087417,6,2,6,1.7073,124.1631,127.649357882756,1300,29.9288648328186,"SS"
"75","1903_09_TeamNJ_TeamB",70,83,3033115,6,2,6,-21.0069,148.2966,155.106170012962,1250,37.8210884959608,"SS"
"76","1903_09_TeamNJ_TeamB",70,104,3823665,6,2,6,13.9917,145.3842,151.725174583291,1200,38.5381943441558,"SS"
"77","1903_09_TeamNJ_TeamB",70,113,4158215,6,2,6,-16.5792,154.0698,160.276210151351,1300,37.5786068108706,"SS"
"78","1903_09_TeamNJ_TeamB",70,209,8077165,6,2,6,-22.8495,148.0869,155.192644901104,1200,39.4189318048803,"SS"
"79","1903_10_TeamNJ_TeamB",71,49,1677489,4,2,4,2.9292,125.7318,127.120348692607,1300,29.8048325242359,"2B"
"80","1903_11_TeamNC_TeamA1",72,117,9355486,6,2,6,-1.5375,126.3246,126.527975246583,1100,35.0597516865078,"SS"
"81","1903_12_TeamNC_TeamA1",73,178,6282754,4,2,4,2.1627,125.3391,129.234518203033,1300,30.3005239602188,"2B"
"82","1903_13_TeamNG_TeamA3",74,215,7249034,6,2,6,-3.5232,127.8471,129.573208571062,1200,32.9115949770498,"SS"
"83","1903_14_TeamNG_TeamA3",75,69,2221301,6,2,6,-6.8559,123.0051,125.294914168653,1100,34.7180816714594,"SS"
"84","1903_14_TeamNG_TeamA3",75,106,4281782,6,2,6,0.4215,127.8036,114.265457478102,1000,34.8281114393256,"SS"
"85","1903_14_TeamNG_TeamA3",75,173,6753921,6,2,6,-61.6047,63.4974,84.9700963413012,750,34.5318471531048,"SS"
"86","1903_15_TeamNG_TeamA3",76,138,4506369,4,2,4,0.6519,124.5915,128.014267161008,1250,31.2149989045403,"2B"
"87","1903_16_TeamNI_TeamA3",77,212,6684018,4,2,4,2.6037,131.4381,134.095451724881,1200,34.0602447381199,"2B"
"88","1903_18_TeamNI_TeamA3",79,14,321316,6,2,6,-0.6306,125.181,117.05404936336,1200,29.7317285382935,"SS"
"89","1903_19_TeamNL_TeamB",80,25,778451,6,2,6,-1.4139,126.9819,130.908857203056,1300,30.6930920580703,"SS"
"90","1903_19_TeamNL_TeamB",80,41,1227751,6,2,6,0.9486,125.5632,106.46861877591,1050,30.9063190503784,"SS"
"91","1903_20_TeamNL_TeamB",81,149,4951166,4,2,4,12.4956,129.4704,132.934470725429,1650,24.556622228552,"2B"
"92","1903_20_TeamNL_TeamB",81,232,7921666,6,2,6,-5.4033,123.1806,128.010476891542,1300,30.0135333511861,"SS"
"93","1903_20_TeamNL_TeamB",81,240,8212516,4,2,4,4.368,120.7926,96.8118416891756,950,31.0613151019587,"2B"
"94","1903_22_TeamNA_TeamA1",83,64,1685363,4,2,4,3.1659,125.1195,129.170900873223,1350,29.1639189527099,"2B"
"95","1903_22_TeamNA_TeamA1",83,139,3939913,4,2,4,0.771,125.0604,128.028302332453,1200,32.5191887924431,"2B"
"96","1903_22_TeamNA_TeamA1",83,187,5633763,4,2,4,1.2021,123.624,122.14668086563,1200,31.02525693987,"2B"
"97","1903_23_TeamNA_TeamA1",84,137,4334644,4,2,4,3.3147,122.2104,124.923187097672,1250,30.4612699418964,"2B"
"98","1903_25_TeamNH_TeamA3",86,248,8952761,6,2,6,0.5295,128.2611,130.335616409982,1200,33.1052465681355,"SS"
"99","1903_25_TeamNK_TeamB",87,42,1475465,4,2,4,0.3318,124.5978,126.448189539352,1200,32.1178401429955,"2B"
"100","1903_25_TeamNK_TeamB",87,60,2169765,6,2,6,5.2578,127.1409,129.81493245332,1400,28.2625652941228,"SS"
"101","1903_28_TeamNF_TeamA2",92,164,5607201,6,2,6,0.3849,124.941,113.583616640121,1200,28.8502386265908,"SS"
"102","1903_29_TeamNF_TeamA2",93,20,493604,4,2,4,0.4617,123.8487,126.653700000355,1500,25.7360318400722,"2B"
"103","1903_29_TeamNF_TeamA2",93,29,882504,6,2,6,0.7272,125.3238,128.012596698645,1200,32.5151995614559,"SS"
"104","1903_29_TeamNF_TeamA2",93,79,2593429,6,2,6,2.7456,123.042,127.767820659977,1300,29.9566397978161,"SS"
"105","1903_29_TeamNF_TeamA2",93,122,4124521,6,2,6,-0.7059,122.9556,127.818771717499,1300,29.9685858611489,"SS"
"106","1903_29_TeamNF_TeamA2",93,159,5164571,4,2,4,0.7062,125.5335,127.843753962601,1150,33.8841532241745,"2B"
"107","1903_30_TeamNB_TeamA1",94,179,6002971,4,2,4,0.8478,126.1755,129.778026528685,1250,31.6450739887545,"2B"
"108","1903_30_TeamNF_TeamA2",95,77,2211547,4,2,4,0.2991,126.4293,127.261828048044,1200,32.3245043242033,"2B"
"109","1903_30_TeamNF_TeamA2",95,96,2772147,4,2,4,-2.088,121.5072,122.99380416273,1200,31.2404262573334,"2B"
"110","1903_30_TeamNF_TeamA2",95,195,6085647,6,2,6,0.7716,126.0462,127.656201710219,1200,32.4246752343955,"SS"
"111","1903_31_TeamNB_TeamA1",96,25,825792,6,2,6,2.0328,125.8656,127.371519914972,1200,32.3523660584028,"SS"
