"","game_str","play_per_game","success","play_id","...1","game_id","timestamp","game_event_player_pos","event_code","coords_player_pos","field_x","field_y","distance_ft","time_ms","velocity_m_per_s","passed_to"
"1","1902_08_TeamMJ_TeamB",80,0,80,26,35,2887744,4,2,4,-1.0188,126.9954,129.561971348733,1250,31.5923910936751,"2B"
"2","1902_08_TeamMJ_TeamB",169,0,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1902_08_TeamMJ_TeamB",222,0,222,28,35,8463344,4,2,4,2.2701,121.8438,123.946046219353,1200,31.4822957397157,"2B"
"4","1902_09_TeamMJ_TeamB",296,0,296,30,36,11093955,4,2,4,-0.405,124.7046,126.460447508618,1200,32.120953667189,"2B"
"5","1902_12_TeamMI_TeamA3",61,1,61,33,39,1944654,4,2,4,-0.3816,123.1029,126.734819401221,1200,32.19064412791,"2B"
"6","1902_23_TeamMA_TeamA1",99,0,99,48,52,3242588,4,2,4,2.8629,125.4813,128.639020932841,1200,32.6743113169417,"2B"
"7","1902_24_TeamMA_TeamA1",34,0,34,50,53,925643,4,2,4,0.7485,124.8075,126.783932203572,1188,32.5284028077852,"2B"
"8","1902_31_TeamMF_TeamA2",101,0,101,63,61,2898396,4,2,4,0.2055,123.1152,124.414586707829,1300,29.1704354065742,"2B"
"9","1903_01_TeamNE_TeamA2",260,0,259,65,62,8545286,4,2,4,15.1116,144.1962,150.136779937496,1320,34.6679473673854,"2B"
"10","1903_01_TeamNE_TeamA2",285,0,284,66,62,9427509,4,2,4,16.7124,139.7868,145.370100729001,1287,34.4279772355863,"2B"
"11","1903_05_TeamND_TeamA2",78,0,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1903_06_TeamND_TeamA2",15,0,15,69,67,302024,4,2,4,-13.1535,147.9003,154.202612331471,1250,37.6007649909059,"2B"
"13","1903_06_TeamND_TeamA2",143,0,141,70,67,4571374,4,2,4,22.9899,137.2041,145.057401859126,1000,44.2134960866616,"2B"
"14","1903_07_TeamND_TeamA2",58,0,57,71,68,1587673,4,2,4,-4.2813,122.6403,126.842052099767,1350,28.6381166518585,"2B"
"15","1903_11_TeamNC_TeamA1",115,1,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1903_12_TeamNC_TeamA1",178,1,178,81,73,6282754,4,2,4,2.1627,125.3391,129.234518203033,1300,30.3005239602188,"2B"
"17","1903_15_TeamNG_TeamA3",139,0,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1903_20_TeamNL_TeamB",149,0,149,91,81,4951166,4,2,4,12.4956,129.4704,132.934470725429,1650,24.556622228552,"2B"
"19","1903_20_TeamNL_TeamB",243,0,240,93,81,8212516,4,2,4,4.368,120.7926,96.8118416891756,950,31.0613151019587,"2B"
"20","1903_21_TeamNL_TeamB",60,0,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1903_22_TeamNA_TeamA1",64,0,64,94,83,1685363,4,2,4,3.1659,125.1195,129.170900873223,1350,29.1639189527099,"2B"
"22","1903_22_TeamNA_TeamA1",140,0,139,95,83,3939913,4,2,4,0.771,125.0604,128.028302332453,1200,32.5191887924431,"2B"
"23","1903_22_TeamNA_TeamA1",188,0,187,96,83,5633763,4,2,4,1.2021,123.624,122.14668086563,1200,31.02525693987,"2B"
"24","1903_23_TeamNA_TeamA1",141,1,137,97,84,4334644,4,2,4,3.3147,122.2104,124.923187097672,1250,30.4612699418964,"2B"
"25","1903_25_TeamNK_TeamB",42,0,42,99,87,1475465,4,2,4,0.3318,124.5978,126.448189539352,1200,32.1178401429955,"2B"
"26","1903_29_TeamNF_TeamA2",20,0,20,102,93,493604,4,2,4,0.4617,123.8487,126.653700000355,1500,25.7360318400722,"2B"
"27","1903_29_TeamNF_TeamA2",159,0,159,106,93,5164571,4,2,4,0.7062,125.5335,127.843753962601,1150,33.8841532241745,"2B"
"28","1903_30_TeamNB_TeamA1",187,0,179,107,94,6002971,4,2,4,0.8478,126.1755,129.778026528685,1250,31.6450739887545,"2B"
"29","1903_30_TeamNF_TeamA2",77,1,77,108,95,2211547,4,2,4,0.2991,126.4293,127.261828048044,1200,32.3245043242033,"2B"
"30","1903_30_TeamNF_TeamA2",96,0,96,109,95,2772147,4,2,4,-2.088,121.5072,122.99380416273,1200,31.2404262573334,"2B"
"31","1901_14_TeamLL_TeamB",75,0,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1901_14_TeamLL_TeamB",134,1,134,16,23,4738747,6,2,6,0.5643,125.1327,128.193191814932,1350,28.9431739742158,"SS"
"33","1902_05_TeamML_TeamB",17,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","1902_08_TeamMJ_TeamB",12,0,12,25,35,285444,6,2,6,2.2818,129.0735,131.918034813516,1300,30.9297053931997,"SS"
"35","1902_08_TeamMJ_TeamB",103,0,103,27,35,3772844,6,2,6,0.3144,126.021,128.35622584982,1350,28.9799834363149,"SS"
"36","1902_11_TeamMI_TeamA3",25,0,25,31,38,748252,6,2,6,-1.5249,124.9236,126.963978293885,1150,33.6509744208487,"SS"
"37","1902_22_TeamMA_TeamA1",117,0,117,46,51,4073690,6,2,6,-0.8115,124.815,126.268319353391,1200,32.0721531157614,"SS"
"38","1902_23_TeamMA_TeamA1",80,1,80,47,52,2463238,6,2,6,-2.0892,124.029,127.221055502146,1200,32.314148097545,"SS"
"39","1902_26_TeamMH_TeamA3",71,0,71,54,56,2315256,6,2,6,-0.861,126.2475,127.973510348119,1250,31.2050607632852,"SS"
"40","1902_26_TeamMH_TeamA3",135,0,135,56,56,4288006,6,2,6,-1.227,127.8849,133.369254217604,1150,35.348651030892,"SS"
"41","1903_01_TeamNE_TeamA2",302,0,301,67,62,10024149,6,2,6,-14.1951,141.6123,150.10969112116,1287,35.5504536548015,"SS"
"42","1903_05_TeamND_TeamA2",114,1,114,68,66,3324362,6,2,6,-19.2651,145.4142,152.387427875432,1300,35.7289907818705,"SS"
"43","1903_07_TeamND_TeamA2",102,0,101,72,68,2934773,6,2,6,1.6104,123.4377,128.976928086422,1300,30.2401289851856,"SS"
"44","1903_08_TeamNJ_TeamB",92,0,91,74,69,3087417,6,2,6,1.7073,124.1631,127.649357882756,1300,29.9288648328186,"SS"
"45","1903_09_TeamNJ_TeamB",84,0,83,75,70,3033115,6,2,6,-21.0069,148.2966,155.106170012962,1250,37.8210884959608,"SS"
"46","1903_09_TeamNJ_TeamB",105,0,104,76,70,3823665,6,2,6,13.9917,145.3842,151.725174583291,1200,38.5381943441558,"SS"
"47","1903_09_TeamNJ_TeamB",114,0,113,77,70,4158215,6,2,6,-16.5792,154.0698,160.276210151351,1300,37.5786068108706,"SS"
"48","1903_09_TeamNJ_TeamB",212,0,209,78,70,8077165,6,2,6,-22.8495,148.0869,155.192644901104,1200,39.4189318048803,"SS"
"49","1903_11_TeamNC_TeamA1",118,0,117,80,72,9355486,6,2,6,-1.5375,126.3246,126.527975246583,1100,35.0597516865078,"SS"
"50","1903_13_TeamNG_TeamA3",215,0,215,82,74,7249034,6,2,6,-3.5232,127.8471,129.573208571062,1200,32.9115949770498,"SS"
"51","1903_14_TeamNG_TeamA3",69,0,69,83,75,2221301,6,2,6,-6.8559,123.0051,125.294914168653,1100,34.7180816714594,"SS"
"52","1903_14_TeamNG_TeamA3",106,0,106,84,75,4281782,6,2,6,0.4215,127.8036,114.265457478102,1000,34.8281114393256,"SS"
"53","1903_14_TeamNG_TeamA3",173,0,173,85,75,6753921,6,2,6,-61.6047,63.4974,84.9700963413012,750,34.5318471531048,"SS"
"54","1903_19_TeamNL_TeamB",26,0,25,89,80,778451,6,2,6,-1.4139,126.9819,130.908857203056,1300,30.6930920580703,"SS"
"55","1903_19_TeamNL_TeamB",42,0,41,90,80,1227751,6,2,6,0.9486,125.5632,106.46861877591,1050,30.9063190503784,"SS"
"56","1903_20_TeamNL_TeamB",234,0,232,92,81,7921666,6,2,6,-5.4033,123.1806,128.010476891542,1300,30.0135333511861,"SS"
"57","1903_25_TeamNH_TeamA3",249,0,248,98,86,8952761,6,2,6,0.5295,128.2611,130.335616409982,1200,33.1052465681355,"SS"
"58","1903_25_TeamNK_TeamB",62,0,60,100,87,2169765,6,2,6,5.2578,127.1409,129.81493245332,1400,28.2625652941228,"SS"
"59","1903_25_TeamNK_TeamB",119,0,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","1903_27_TeamNK_TeamB",167,0,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1903_29_TeamNF_TeamA2",79,0,79,104,93,2593429,6,2,6,2.7456,123.042,127.767820659977,1300,29.9566397978161,"SS"
"62","1903_30_TeamNF_TeamA2",195,1,195,110,95,6085647,6,2,6,0.7716,126.0462,127.656201710219,1200,32.4246752343955,"SS"
"63","1903_31_TeamNB_TeamA1",25,1,25,111,96,825792,6,2,6,2.0328,125.8656,127.371519914972,1200,32.3523660584028,"SS"
