"","game_str","game_id","play_id","timestamp","field_x","field_y","distance_from_1st_base_ft"
"1","1900_05_TeamKK_TeamB",5,56,2231071,41.5797,85.6737,30.5628703458952
"2","1900_05_TeamKK_TeamB",5,218,8285596,47.3886,82.0917,24.0155193749792
"3","1900_08_TeamKL_TeamB",8,270,10234600,30.4584,99,47.8928278822623
"4","1901_02_TeamLG_TeamA3",11,99,4237096,39.8235,86.6019,32.4550748552518
"5","1901_02_TeamLG_TeamA3",11,227,8791992,49.5582,80.9127,21.7401400301378
"6","1901_02_TeamLG_TeamA3",11,282,10906890,41.2704,85.1508,30.4058781290723
"7","1901_05_TeamLI_TeamA3",14,12,306255,45.3867,82.8504,25.9011779857596
"8","1901_05_TeamLI_TeamA3",14,12,306255,45.3867,82.8504,25.9011779857596
"9","1901_05_TeamLI_TeamA3",14,81,2537253,42.297,85.5834,30.0041192598616
"10","1901_07_TeamLK_TeamB",16,122,4257900,41.4036,86.6199,31.37150976555
"11","1901_09_TeamLK_TeamB",18,64,2468333,39.6351,88.5459,33.9862450826801
"12","1901_09_TeamLK_TeamB",18,145,5581430,40.8861,84.5868,30.2859031803577
"13","1901_10_TeamLJ_TeamB",19,81,2923564,43.8102,84.4968,28.1797981944513
"14","1901_10_TeamLJ_TeamB",19,207,8500308,48.0711,78.8079,21.1146625267846
"15","1901_11_TeamLJ_TeamB",20,39,1185795,38.8413,90.1092,35.6752401299557
"16","1901_11_TeamLJ_TeamB",20,119,4218242,38.1903,86.6799,33.6824457262236
"17","1901_11_TeamLJ_TeamB",20,152,5669341,40.3239,87.1386,32.4894257439247
"18","1901_11_TeamLJ_TeamB",20,174,6470940,37.0686,91.7004,38.0451584583374
"19","1901_12_TeamLJ_TeamB",21,189,6544491,43.1847,88.1511,31.3685573990899
"20","1901_13_TeamLL_TeamB",22,152,4840221,46.2828,83.8344,26.0636127810402
"21","1901_14_TeamLL_TeamB",23,75,2563649,45.2928,81.7248,25.1428531968828
"22","1901_14_TeamLL_TeamB",23,134,4736747,43.8063,83.5653,27.5001877044503
"23","1901_15_TeamLL_TeamB",24,51,1742070,44.6724,83.2713,26.6936174665406
"24","1901_16_TeamLH_TeamA3",25,87,2982124,40.3458,86.6229,32.1031159554645
"25","1901_16_TeamLH_TeamA3",25,100,3435024,39.8214,86.2722,32.2241500555096
"26","1901_17_TeamLH_TeamA3",26,18,449794,38.2344,91.7208,37.2831917088653
"27","1901_17_TeamLH_TeamA3",26,46,1380789,40.4523,87.2142,32.455760427542
"28","1901_17_TeamLH_TeamA3",26,281,9702531,43.4496,81.3801,26.22217947025
"29","1901_18_TeamLH_TeamA3",27,19,499853,48.1719,81.0948,22.7482461884428
"30","1901_18_TeamLH_TeamA3",27,259,8928695,41.8047,84.4347,29.5219265323251
"31","1902_01_TeamMG_TeamA3",28,125,3878043,4.809,123.4929,83.310791854417
"32","1902_02_TeamMG_TeamA3",29,114,3894369,-6.423,3.9168,91.395558465606
"33","1902_02_TeamMG_TeamA3",29,114,3894369,-6.423,3.9168,91.395558465606
"34","1902_03_TeamMG_TeamA3",30,271,9736246,40.3545,89.3037,34.0680484903377
"35","1902_05_TeamML_TeamB",32,17,477629,38.4984,87.5019,34.0296268884923
"36","1902_08_TeamMJ_TeamB",35,12,283494,40.2903,88.0155,33.1519594947267
"37","1902_08_TeamMJ_TeamB",35,80,2885844,41.9469,85.3257,30.0575234525401
"38","1902_08_TeamMJ_TeamB",35,103,3770894,44.3589,83.0349,26.7350449264631
"39","1902_08_TeamMJ_TeamB",35,169,6559094,42.093,83.7768,28.8550793317225
"40","1902_08_TeamMJ_TeamB",35,169,6559094,42.093,83.7768,28.8550793317225
"41","1902_08_TeamMJ_TeamB",35,222,8461444,43.0839,85.2609,29.2337515214863
"42","1902_08_TeamMJ_TeamB",35,369,14181455,42.6975,88.2,31.7127341339406
"43","1902_09_TeamMJ_TeamB",36,296,11091955,39.2952,86.8743,33.0216525257292
"44","1902_10_TeamMI_TeamA3",37,199,7131431,40.134,88.0071,33.2519388669292
"45","1902_11_TeamMI_TeamA3",38,25,746402,40.6791,87.7014,32.6575736203717
"46","1902_12_TeamMI_TeamA3",39,61,1942754,41.529,86.5002,31.1984631839455
"47","1902_13_TeamMD_TeamA2",40,86,3132530,39.8397,89.8866,34.8457194451485
"48","1902_13_TeamMK_TeamB",41,66,2385060,44.0934,84.6996,28.1415832482822
"49","1902_14_TeamMD_TeamA2",42,306,10464515,40.2306,86.2461,31.9156642038044
"50","1902_16_TeamMD_TeamA2",45,49,1565923,47.1204,81.1926,23.5093780206963
"51","1902_16_TeamMD_TeamA2",45,198,6674816,36.9189,89.6211,36.6439627554117
"52","1902_17_TeamMB_TeamA1",46,184,6501818,42.5991,83.2686,28.1379428311666
"53","1902_18_TeamMB_TeamA1",47,187,6779454,40.1193,88.7886,33.8386373610109
"54","1902_19_TeamME_TeamA2",48,34,1003252,43.8321,87.4626,30.4266604997985
"55","1902_20_TeamME_TeamA2",49,204,7670178,41.9205,89.2746,33.0366081402132
"56","1902_21_TeamME_TeamA2",50,16,373258,37.4304,91.2771,37.4886373794781
"57","1902_21_TeamME_TeamA2",50,172,6122858,40.4937,85.2927,31.0584534866113
"58","1902_22_TeamMA_TeamA1",51,117,4071740,43.4274,86.4075,29.8681850638769
"59","1902_23_TeamMA_TeamA1",52,80,2461388,42.6399,84.8016,29.1998585368149
"60","1902_23_TeamMA_TeamA1",52,99,3240588,45.5721,82.8603,25.7845658970633
"61","1902_23_TeamMA_TeamA1",52,240,8676488,42.1644,86.4291,30.7168002593044
"62","1902_24_TeamMA_TeamA1",53,34,923762,39.2385,87.8166,33.7308308496841
"63","1902_24_TeamMA_TeamA1",53,198,6682619,39.4707,88.6362,34.1643309451539
"64","1902_24_TeamMA_TeamA1",53,339,11797624,42.54,84.8127,29.2768103674222
"65","1902_26_TeamMC_TeamA1",55,241,8481627,41.1807,87.315,32.0339166117726
"66","1902_26_TeamMH_TeamA3",56,71,2313306,39.7626,91.4877,36.1161293890971
"67","1902_26_TeamMH_TeamA3",56,135,4286256,39.1197,87.7386,33.7580554245946
"68","1902_26_TeamMH_TeamA3",56,196,6512506,38.9097,88.0083,34.0976664154602
"69","1902_27_TeamMH_TeamA3",57,88,3057272,38.9016,88.1946,34.2367000705383
"70","1902_28_TeamMC_TeamA1",58,147,5483255,40.9341,86.5353,31.6317036041374
"71","1902_30_TeamMF_TeamA2",60,114,3607729,35.6523,92.574,39.6485025605003
"72","1902_31_TeamMF_TeamA2",61,101,2896546,35.2653,92.9892,40.2160921613475
"73","1903_01_TeamNE_TeamA2",62,229,7416289,54.6141,73.2261,12.5797058797096
"74","1903_01_TeamNE_TeamA2",62,259,8543405,55.7058,71.2377,10.3675832733574
"75","1903_01_TeamNE_TeamA2",62,284,9425595,56.0334,70.9257,9.91607644434027
"76","1903_01_TeamNE_TeamA2",62,301,10022268,55.8084,73.0986,11.7383924163405
"77","1903_05_TeamND_TeamA2",66,78,2193862,56.2182,71.1012,9.92293568859539
"78","1903_05_TeamND_TeamA2",66,114,3322462,55.3614,72.9792,11.9146942302352
"79","1903_06_TeamND_TeamA2",67,15,300074,56.0859,72.3102,10.9414797376772
"80","1903_06_TeamND_TeamA2",67,141,4569674,55.8246,73.7475,12.2581127996931
"81","1903_07_TeamND_TeamA2",68,57,1585623,38.9514,89.1003,34.8579447192459
"82","1903_07_TeamND_TeamA2",68,101,2932673,41.4825,84.186,29.5782034993676
"83","1903_07_TeamND_TeamA2",68,168,4945173,42.0687,85.9386,30.419688651431
"84","1903_08_TeamNJ_TeamB",69,91,3085267,42.8823,84.6897,28.9519054188148
"85","1903_09_TeamNJ_TeamB",70,83,3031065,57.4329,72.3354,10.1974494639591
"86","1903_09_TeamNJ_TeamB",70,104,3820765,58.4544,70.7493,8.3114582264486
"87","1903_09_TeamNJ_TeamB",70,113,4155915,55.4664,74.1249,12.7722249028899
"88","1903_09_TeamNJ_TeamB",70,209,8075315,58.8492,74.0127,11.0854527165109
"89","1903_10_TeamNJ_TeamB",71,49,1675589,43.1853,84.8307,28.8481307293904
"90","1903_11_TeamNC_TeamA1",72,114,9262786,42.4725,85.8306,30.0666823013448
"91","1903_11_TeamNC_TeamA1",72,117,9353686,43.8246,85.8516,29.1874039222402
"92","1903_12_TeamNC_TeamA1",73,178,6280604,46.2042,80.5584,23.6712224483654
"93","1903_13_TeamNG_TeamA3",74,215,7247184,43.8219,86.1207,29.3944468241877
"94","1903_14_TeamNG_TeamA3",75,69,2219551,52.8876,79.4811,18.6656028825752
"95","1903_14_TeamNG_TeamA3",75,173,6752521,41.9616,85.044,29.8446755479097
"96","1903_15_TeamNG_TeamA3",76,138,4504419,41.3736,88.437,32.7455235713219
"97","1903_19_TeamNL_TeamB",80,25,775751,47.4246,81.4101,23.4723443049475
"98","1903_20_TeamNL_TeamB",81,149,4949016,40.7811,90.2958,34.5485704313507
"99","1903_20_TeamNL_TeamB",81,232,7919316,45.6381,81.5418,24.7716350459553
"100","1903_22_TeamNA_TeamA1",83,64,1683363,43.4196,85.9929,29.5584710458779
"101","1903_22_TeamNA_TeamA1",83,139,3938063,39.4047,85.3068,31.8578131755775
"102","1903_22_TeamNA_TeamA1",83,187,5630613,50.61,78.6192,19.287273851947
"103","1903_23_TeamNA_TeamA1",84,137,4332644,44.1753,82.4796,26.4635901239798
"104","1903_25_TeamNH_TeamA3",86,248,8949761,52.9197,80.7792,19.7631900443729
"105","1903_25_TeamNK_TeamB",87,42,1473565,41.7702,86.0535,30.7072741592281
"106","1903_25_TeamNK_TeamB",87,60,2167665,43.428,84.099,28.1477690945482
"107","1903_25_TeamNK_TeamB",87,114,4185015,41.2212,85.5981,30.7583819641086
"108","1903_27_TeamNK_TeamB",91,167,6035259,-9.1191,5.5254,92.4332826960614
"109","1903_28_TeamNF_TeamA2",92,164,5604651,-48.525,88.7649,114.085984349569
"110","1903_29_TeamNF_TeamA2",93,20,491454,41.193,86.1882,31.2018719348695
"111","1903_29_TeamNF_TeamA2",93,79,2591379,42.5895,85.3683,29.6473960262955
"112","1903_29_TeamNF_TeamA2",93,122,4122621,39.8388,85.1151,31.4095738501814
"113","1903_29_TeamNF_TeamA2",93,159,5162771,41.2383,87.3804,32.0435666405911
"114","1903_30_TeamNB_TeamA1",94,179,6001071,40.5606,86.3229,31.738420136642
"115","1903_30_TeamNF_TeamA2",95,77,2209697,43.392,84.0522,28.1385382143423
"116","1903_30_TeamNF_TeamA2",95,96,2770297,42.3447,85.845,30.1636618978863
"117","1903_30_TeamNF_TeamA2",95,195,6083797,41.3184,84.1884,29.6981304650646
"118","1903_31_TeamNB_TeamA1",96,25,823792,44.8143,82.5045,26.0368490555213
