"","game_str","play_per_game","success","play_id","...1","game_id","timestamp","field_x","field_y","distance_from_1st_base_ft"
"1","1902_08_TeamMJ_TeamB",80,0,80,37,35,2885844,41.9469,85.3257,30.0575234525401
"2","1902_08_TeamMJ_TeamB",169,0,169,39,35,6559094,42.093,83.7768,28.8550793317225
"3","1902_08_TeamMJ_TeamB",169,0,169,40,35,6559094,42.093,83.7768,28.8550793317225
"4","1902_08_TeamMJ_TeamB",222,0,222,41,35,8461444,43.0839,85.2609,29.2337515214863
"5","1902_09_TeamMJ_TeamB",296,0,296,43,36,11091955,39.2952,86.8743,33.0216525257292
"6","1902_12_TeamMI_TeamA3",61,1,61,46,39,1942754,41.529,86.5002,31.1984631839455
"7","1902_23_TeamMA_TeamA1",99,0,99,60,52,3240588,45.5721,82.8603,25.7845658970633
"8","1902_24_TeamMA_TeamA1",34,0,34,62,53,923762,39.2385,87.8166,33.7308308496841
"9","1902_31_TeamMF_TeamA2",101,0,101,72,61,2896546,35.2653,92.9892,40.2160921613475
"10","1903_01_TeamNE_TeamA2",260,0,259,74,62,8543405,55.7058,71.2377,10.3675832733574
"11","1903_01_TeamNE_TeamA2",285,0,284,75,62,9425595,56.0334,70.9257,9.91607644434027
"12","1903_05_TeamND_TeamA2",78,0,78,77,66,2193862,56.2182,71.1012,9.92293568859539
"13","1903_06_TeamND_TeamA2",15,0,15,79,67,300074,56.0859,72.3102,10.9414797376772
"14","1903_06_TeamND_TeamA2",143,0,141,80,67,4569674,55.8246,73.7475,12.2581127996931
"15","1903_07_TeamND_TeamA2",58,0,57,81,68,1585623,38.9514,89.1003,34.8579447192459
"16","1903_11_TeamNC_TeamA1",115,1,114,90,72,9262786,42.4725,85.8306,30.0666823013448
"17","1903_12_TeamNC_TeamA1",178,1,178,92,73,6280604,46.2042,80.5584,23.6712224483654
"18","1903_15_TeamNG_TeamA3",139,0,139,NA,NA,NA,NA,NA,NA
"19","1903_20_TeamNL_TeamB",149,0,149,98,81,4949016,40.7811,90.2958,34.5485704313507
"20","1903_20_TeamNL_TeamB",243,0,240,NA,NA,NA,NA,NA,NA
"21","1903_21_TeamNL_TeamB",60,0,58,NA,NA,NA,NA,NA,NA
"22","1903_22_TeamNA_TeamA1",64,0,64,100,83,1683363,43.4196,85.9929,29.5584710458779
"23","1903_22_TeamNA_TeamA1",140,0,139,101,83,3938063,39.4047,85.3068,31.8578131755775
"24","1903_22_TeamNA_TeamA1",188,0,187,102,83,5630613,50.61,78.6192,19.287273851947
"25","1903_23_TeamNA_TeamA1",141,1,137,103,84,4332644,44.1753,82.4796,26.4635901239798
"26","1903_25_TeamNK_TeamB",42,0,42,105,87,1473565,41.7702,86.0535,30.7072741592281
"27","1903_29_TeamNF_TeamA2",20,0,20,110,93,491454,41.193,86.1882,31.2018719348695
"28","1903_29_TeamNF_TeamA2",159,0,159,113,93,5162771,41.2383,87.3804,32.0435666405911
"29","1903_30_TeamNB_TeamA1",187,0,179,114,94,6001071,40.5606,86.3229,31.738420136642
"30","1903_30_TeamNF_TeamA2",77,1,77,115,95,2209697,43.392,84.0522,28.1385382143423
"31","1903_30_TeamNF_TeamA2",96,0,96,116,95,2770297,42.3447,85.845,30.1636618978863
"32","1901_14_TeamLL_TeamB",75,0,75,21,23,2563649,45.2928,81.7248,25.1428531968828
"33","1901_14_TeamLL_TeamB",134,1,134,22,23,4736747,43.8063,83.5653,27.5001877044503
"34","1902_05_TeamML_TeamB",17,0,17,35,32,477629,38.4984,87.5019,34.0296268884923
"35","1902_08_TeamMJ_TeamB",12,0,12,36,35,283494,40.2903,88.0155,33.1519594947267
"36","1902_08_TeamMJ_TeamB",103,0,103,38,35,3770894,44.3589,83.0349,26.7350449264631
"37","1902_11_TeamMI_TeamA3",25,0,25,45,38,746402,40.6791,87.7014,32.6575736203717
"38","1902_22_TeamMA_TeamA1",117,0,117,58,51,4071740,43.4274,86.4075,29.8681850638769
"39","1902_23_TeamMA_TeamA1",80,1,80,59,52,2461388,42.6399,84.8016,29.1998585368149
"40","1902_26_TeamMH_TeamA3",71,0,71,66,56,2313306,39.7626,91.4877,36.1161293890971
"41","1902_26_TeamMH_TeamA3",135,0,135,67,56,4286256,39.1197,87.7386,33.7580554245946
"42","1903_01_TeamNE_TeamA2",302,0,301,76,62,10022268,55.8084,73.0986,11.7383924163405
"43","1903_05_TeamND_TeamA2",114,1,114,78,66,3322462,55.3614,72.9792,11.9146942302352
"44","1903_07_TeamND_TeamA2",102,0,101,82,68,2932673,41.4825,84.186,29.5782034993676
"45","1903_08_TeamNJ_TeamB",92,0,91,84,69,3085267,42.8823,84.6897,28.9519054188148
"46","1903_09_TeamNJ_TeamB",84,0,83,85,70,3031065,57.4329,72.3354,10.1974494639591
"47","1903_09_TeamNJ_TeamB",105,0,104,86,70,3820765,58.4544,70.7493,8.3114582264486
"48","1903_09_TeamNJ_TeamB",114,0,113,87,70,4155915,55.4664,74.1249,12.7722249028899
"49","1903_09_TeamNJ_TeamB",212,0,209,88,70,8075315,58.8492,74.0127,11.0854527165109
"50","1903_11_TeamNC_TeamA1",118,0,117,91,72,9353686,43.8246,85.8516,29.1874039222402
"51","1903_13_TeamNG_TeamA3",215,0,215,93,74,7247184,43.8219,86.1207,29.3944468241877
"52","1903_14_TeamNG_TeamA3",69,0,69,94,75,2219551,52.8876,79.4811,18.6656028825752
"53","1903_14_TeamNG_TeamA3",106,0,106,NA,NA,NA,NA,NA,NA
"54","1903_14_TeamNG_TeamA3",173,0,173,95,75,6752521,41.9616,85.044,29.8446755479097
"55","1903_19_TeamNL_TeamB",26,0,25,97,80,775751,47.4246,81.4101,23.4723443049475
"56","1903_19_TeamNL_TeamB",42,0,41,NA,NA,NA,NA,NA,NA
"57","1903_20_TeamNL_TeamB",234,0,232,99,81,7919316,45.6381,81.5418,24.7716350459553
"58","1903_25_TeamNH_TeamA3",249,0,248,104,86,8949761,52.9197,80.7792,19.7631900443729
"59","1903_25_TeamNK_TeamB",62,0,60,106,87,2167665,43.428,84.099,28.1477690945482
"60","1903_25_TeamNK_TeamB",119,0,114,107,87,4185015,41.2212,85.5981,30.7583819641086
"61","1903_27_TeamNK_TeamB",167,0,167,108,91,6035259,-9.1191,5.5254,92.4332826960614
"62","1903_29_TeamNF_TeamA2",79,0,79,111,93,2591379,42.5895,85.3683,29.6473960262955
"63","1903_30_TeamNF_TeamA2",195,1,195,117,95,6083797,41.3184,84.1884,29.6981304650646
"64","1903_31_TeamNB_TeamA1",25,1,25,118,96,823792,44.8143,82.5045,26.0368490555213
